global_id,A1S1,A1N1,C2S2,H1_1,H4_1,I4Q1,I4Q2,I4Q3,I4Q4,I4Q5,I4Q6,I4Q7,k_means,k_means_dummy,k_means_pca,k_means_dummy_pca,Spectral,Spectral_dummy,Spectral_pca,Spectral_dummy_pca,gmm,gmm_pca,gmm_dummy,gmm_dummy_pca,agg,agg_pca,agg_dummy,agg_dummy_pca,dbscan,dbscan_pca,dbscan_dummy,dbscan_dummy_pca,meanshift,meanshift_pca,meanshift_dummy_pca
112323.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,-1,0,0,0,0
112381.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,-1,0,0,0,0
112407.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,2,0,1,1,1,0,-1,0,1,0,0
112428.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,1,2,1,0,0,0,0,-1,0,0,0,0
112448.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2,1,1,0,0,1,0,0,0,1,0,2,1,0,2,2,-1,0,-1,0,1,0,0
112456.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,-1,0,-1,0,1,0,0
112468.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1,0,0,2,0,1,0,1,2,1,1,1,2,1,1,1,0,0,-1,0,0,0,0
112566.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2,1,1,0,0,1,0,0,0,1,0,1,1,0,1,2,-1,0,-1,0,1,0,0
112707.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,2,2,1,1,0,0,1,1,1,1,0,2,1,0,0,0,0,-1,0,0,0,0
112718.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1,0,0,2,0,1,0,1,0,1,1,1,0,1,1,1,-1,0,-1,0,1,0,0
112725.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
112726.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1,2,0,1,0,0,0,1,1,2,1,1,1,0,0,0,-1,0,-1,0,0,0,0
112729.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2,0,1,1,0,0,1,1,1,1,0,2,2,0,0,0,0,-1,0,0,0,0
112734.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1,0,0,2,0,0,0,1,2,1,2,1,2,1,0,0,-1,0,-1,0,0,0,0
112742.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
112744.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
112751.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
112771.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1,0,0,2,0,1,0,1,0,1,1,1,2,1,1,0,-1,0,-1,0,1,0,0
112777.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,1,0,1,1,1,0,-1,0,1,0,0
112785.0,1.0,1.0,1.0,4.0,6.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2,0,1,2,0,1,2,0,0,2,2,1,1,0,1,1,-1,-1,-1,0,1,0,0
112802.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2,0,1,2,0,1,0,0,0,1,0,1,2,0,1,1,-1,0,-1,0,1,0,0
